Rank,Title,Genre,Score
85,Suzumiya Haruhi no Shoushitsu,"Award Winning, Mystery, Sci-Fi, Supernatural",8.61
86,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",8.6
87,Hajime no Ippo: Rising,Sports,8.59
88,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action, Adventure, Supernatural",8.58
89,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural",8.58
90,Natsume Yuujinchou San,"Drama, Slice of Life, Supernatural",8.58
91,Ookami Kodomo no Ame to Yuki,"Award Winning, Fantasy, Slice of Life",8.58
92,Natsume Yuujinchou Go,"Drama, Slice of Life, Supernatural",8.57
93,Shouwa Genroku Rakugo Shinjuu,Drama,8.57
94,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"Action, Sci-Fi",8.57
95,Yojouhan Shinwa Taikei,"Award Winning, Comedy, Mystery, Romance",8.57
96,Ousama Ranking,"Adventure, Fantasy",8.56
97,Fruits Basket 2nd Season,"Drama, Romance, Supernatural",8.56
98,Karakai Jouzu no Takagi-san Movie,"Romance, Comedy, Drama",8.56
99,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",8.56
100,Kimi no Suizou wo Tabetai,"Drama, Romance",8.56
101,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural",8.55
102,Haikyuu!! To the Top Part 2,Sports,8.55
103,Zoku Natsume Yuujinchou,"Drama, Slice of Life, Supernatural",8.55
104,Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi",8.55
105,Mushishi: Hihamukage,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",8.54
106,Slam Dunk,Sports,8.54
107,Bakuman. 3rd Season,"Comedy, Drama, Romance",8.54
108,Kara no Kyoukai Movie 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Suspense",8.53
109,Nana,"Drama, Romance",8.53
110,Perfect Blue,"Avant Garde, Drama, Horror",8.53
111,Shingeki no Kyojin,"Action, Award Winning, Drama, Suspense",8.53
112,Shoujo☆Kageki Revue Starlight Movie,"Action, Drama, Music, Psychological",8.53
113,Sora yori mo Tooi Basho,"Adventure, Comedy, Drama",8.53
114,Steins;Gate 0,"Drama, Sci-Fi, Suspense",8.53
115,Yuru Camp△ Season 2,Slice of Life,8.53
116,Yakusoku no Neverland,"Mystery, Sci-Fi, Suspense",8.52
117,Gintama Movie 1: Shinyaku Benizakura-hen,"Action, Comedy, Sci-Fi",8.52
118,Gintama.: Porori-hen,"Action, Comedy, Sci-Fi",8.52
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Action, Mystery, Sci-Fi",8.52
120,Road of Naruto,"Action, Fantasy",8.52
121,Summertime Render,"Mystery, Supernatural, Suspense",8.52
122,Samurai Champloo,"Action, Adventure, Comedy",8.51
123,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Action, Fantasy, Supernatural",8.51
124,Hotaru no Haka,Drama,8.51
125,Kimetsu no Yaiba,"Action, Award Winning, Fantasy",8.51
126,Ansatsu Kyoushitsu 2nd Season,"Action, Comedy",8.5
127,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action, Adventure, Supernatural",8.5
128,Uchuu Kyoudai,"Comedy, Sci-Fi",8.5
129,One Punch Man,"Action, Comedy",8.5
130,Shingeki no Kyojin Season 2,"Action, Drama, Suspense",8.5
131,Mob Psycho 100,"Action, Comedy, Supernatural",8.49
132,Aria the Origination,"Fantasy, Sci-Fi, Slice of Life",8.49
133,Banana Fish,"Action, Adventure, Drama, Suspense",8.49
134,Jujutsu Kaisen 0 Movie,"Action, Fantasy",8.49
135,Rainbow: Nisha Rokubou no Shichinin,"Drama, Suspense",8.48
136,Yuru Camp△ Movie,Slice of Life,8.48
137,Chihayafuru 3,"Drama, Sports",8.47
138,Gintama: The Semi-Final,"Action, Comedy",8.47
139,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Award Winning, Drama, Mystery, Suspense",8.47
140,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"Adventure, Comedy, Fantasy",8.46
141,Nichijou,Comedy,8.46
